id,total_energy_per_atom
VASP_top_86.vasp,-3.308244456
VASP_top_53.vasp,-3.319267053
VASP_top_71.vasp,-3.330622619
VASP_top_99.vasp,-3.003338554
VASP_top_1.vasp,-3.30057078
VASP_top_23.vasp,-3.321084476
VASP_top_56.vasp,-3.317022977
VASP_top_16.vasp,-2.652028287
VASP_top_45.vasp,-2.396513978
VASP_top_27.vasp,-2.929918325
VASP_top_66.vasp,-2.972452068
VASP_top_13.vasp,-3.311541476
VASP_top_95.vasp,-3.281068626
VASP_top_91.vasp,-3.227172262
VASP_top_80.vasp,-3.326105811
VASP_top_30.vasp,-2.883189763
VASP_top_87.vasp,-3.315146774
VASP_top_67.vasp,-3.297115201
VASP_top_90.vasp,-3.322656971
VASP_top_33.vasp,-3.321805616
VASP_top_54.vasp,-3.060193745
VASP_top_74.vasp,-3.297792109
VASP_top_89.vasp,-3.298342433
VASP_top_62.vasp,-3.206535768
VASP_top_29.vasp,-3.313282413
VASP_top_50.vasp,-3.258771097
VASP_top_93.vasp,-3.298981569
VASP_top_9.vasp,-3.060271636
VASP_top_79.vasp,-3.340085343
VASP_top_47.vasp,-3.313139845
VASP_top_51.vasp,-3.316937728
VASP_top_49.vasp,-3.010610274
VASP_top_48.vasp,-2.679447138
VASP_top_5.vasp,-2.719604041
VASP_top_41.vasp,-3.05830027
VASP_top_32.vasp,-3.303700165
VASP_top_58.vasp,-3.293496971
VASP_top_34.vasp,-3.314645281
VASP_top_26.vasp,-3.108762921
VASP_top_76.vasp,-3.278301609
VASP_top_40.vasp,-3.327532638
VASP_top_11.vasp,-2.910790507
VASP_top_7.vasp,-2.954043224
VASP_top_46.vasp,-3.300472809
VASP_top_44.vasp,-2.692142918
VASP_top_98.vasp,-3.344970338
VASP_top_14.vasp,-3.323255131
VASP_top_31.vasp,-3.319425779
VASP_top_0.vasp,-3.312705724
VASP_top_28.vasp,-2.803509197
VASP_top_42.vasp,-3.33719044
VASP_top_39.vasp,-3.190262911
VASP_top_22.vasp,-3.210116765
VASP_top_84.vasp,-3.31766275
VASP_top_96.vasp,-2.619081094
VASP_top_81.vasp,-3.805415365
VASP_top_2.vasp,-3.323425491
VASP_top_61.vasp,-3.324341184
VASP_top_63.vasp,-2.983679696
VASP_top_43.vasp,-3.313576633
VASP_top_82.vasp,-3.267808658
VASP_top_65.vasp,-2.687529285
VASP_top_88.vasp,-3.617277569
VASP_top_68.vasp,-3.323052965
VASP_top_35.vasp,-3.06001418
VASP_top_21.vasp,-3.324358968
VASP_top_70.vasp,-2.712943643
VASP_top_73.vasp,-3.304306928
VASP_top_8.vasp,-3.343862155
VASP_top_97.vasp,-2.910366957
VASP_top_85.vasp,-3.040744839
VASP_top_4.vasp,-2.900475629
VASP_top_18.vasp,-2.905405804
VASP_top_36.vasp,-3.31385107
VASP_top_25.vasp,-3.214616735
VASP_top_77.vasp,-2.624184015
VASP_top_3.vasp,-3.323455493
VASP_top_94.vasp,-3.279003816
VASP_top_15.vasp,-3.001074709
VASP_top_37.vasp,-3.337746908
VASP_top_60.vasp,-3.306509298
VASP_top_59.vasp,-3.197373348
VASP_top_69.vasp,-3.63276055
VASP_top_83.vasp,-2.799925189
VASP_top_38.vasp,-2.681417441
VASP_top_92.vasp,-2.88845505
VASP_top_72.vasp,-3.28786469
VASP_top_17.vasp,-3.3370101
VASP_top_19.vasp,-6.833506407
VASP_top_10.vasp,-3.303359042
VASP_top_78.vasp,-2.944589799
VASP_top_12.vasp,-3.26025998
VASP_top_75.vasp,-3.318902618
VASP_top_57.vasp,-2.912581653
VASP_top_6.vasp,-3.324764605
