,Structure,Ehull (eV/atom)
0,VASP_top_0,0.029123511
1,VASP_top_1,0.041258455
2,VASP_top_10,0.038470193
3,VASP_top_11,0.038501598
4,VASP_top_12,0.081569255
5,VASP_top_13,0.030287759
6,VASP_top_14,0.018574104
7,VASP_top_15,0.056330981
8,VASP_top_16,0.041380823
9,VASP_top_17,0.004819135
10,VASP_top_18,0.043886301
11,VASP_top_19,1.52353455
12,VASP_top_2,0.018403744
13,VASP_top_21,0.017470267
14,VASP_top_22,0.13171247
15,VASP_top_23,0.020744759
16,VASP_top_25,0.1272125
17,VASP_top_26,0.026587429
18,VASP_top_27,0.01937378
19,VASP_top_28,0.145782908
20,VASP_top_29,0.028546822
21,VASP_top_3,0.018373742
22,VASP_top_30,0.066102342
23,VASP_top_31,0.022403456
24,VASP_top_32,0.03812907
25,VASP_top_33,0.020023619
26,VASP_top_34,0.027183954
27,VASP_top_35,0
28,VASP_top_36,0.027978165
29,VASP_top_37,0.004082327
30,VASP_top_38,0.011991669
31,VASP_top_39,0.151566324
32,VASP_top_4,0.048816476
33,VASP_top_40,0.014296597
34,VASP_top_41,0
35,VASP_top_42,0.004638795
36,VASP_top_43,0.028252602
37,VASP_top_44,0.001266192
38,VASP_top_45,0.084888836
39,VASP_top_46,0.041356426
40,VASP_top_47,0.02868939
41,VASP_top_48,0.013961972
42,VASP_top_49,0.046795416
43,VASP_top_5,0.088576419
44,VASP_top_50,0.083058138
45,VASP_top_51,0.024891507
46,VASP_top_53,0.022562182
47,VASP_top_54,0
48,VASP_top_56,0.024806258
49,VASP_top_57,0.036710452
50,VASP_top_58,0.048332264
51,VASP_top_59,0.144455887
52,VASP_top_6,0.01706463
53,VASP_top_60,0.035319937
54,VASP_top_61,0.017488051
55,VASP_top_62,0.135293467
56,VASP_top_63,0.073725994
57,VASP_top_65,0.120651175
58,VASP_top_66,0.084953622
59,VASP_top_67,0.044714034
60,VASP_top_68,0.01877627
61,VASP_top_69,0.075893498
62,VASP_top_7,0
63,VASP_top_70,0.095236817
64,VASP_top_71,0.011206616
65,VASP_top_72,0.053964545
66,VASP_top_73,0.037522307
67,VASP_top_74,0.044037126
68,VASP_top_75,0.022926617
69,VASP_top_76,0.063527626
70,VASP_top_77,0.32510809
71,VASP_top_78,0.004702306
72,VASP_top_79,0.001743892
73,VASP_top_8,0
74,VASP_top_80,0.015723424
75,VASP_top_81,0.405021922
76,VASP_top_82,0.074020577
77,VASP_top_83,0.149366916
78,VASP_top_84,0.024166485
79,VASP_top_85,0.016660851
80,VASP_top_86,0.033584779
81,VASP_top_87,0.026682461
82,VASP_top_88,0.091376479
83,VASP_top_89,0.043486802
84,VASP_top_9,0
85,VASP_top_90,0.019172264
86,VASP_top_91,0.114656973
87,VASP_top_92,0.060837055
88,VASP_top_93,0.042847666
89,VASP_top_94,0.062825419
90,VASP_top_95,0.060760609
91,VASP_top_96,0.074328016
92,VASP_top_97,0.147038733
93,VASP_top_98,0
94,VASP_top_99,0.054067136
