,cif,energy,material_id
0,"# generated using pymatgen
data_LiP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97038519
_cell_length_b   5.59387161
_cell_length_c   9.06941805
_cell_angle_alpha   94.78717684
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiP
_chemical_formula_sum   'Li8 P8'
_cell_volume   251.28369181
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.38824720  0.11229151  0.32929977  1
  Li  Li1  1  0.88824720  0.38770849  0.17070023  1
  Li  Li2  1  0.61175280  0.88770849  0.67070023  1
  Li  Li3  1  0.11175280  0.61229151  0.82929977  1
  Li  Li4  1  0.65831626  0.80401775  0.02978574  1
  Li  Li5  1  0.15831626  0.69598225  0.47021426  1
  Li  Li6  1  0.34168374  0.19598225  0.97021426  1
  Li  Li7  1  0.84168374  0.30401775  0.52978574  1
  P  P8  1  0.89490359  0.97627156  0.29291641  1
  P  P9  1  0.39490359  0.52372844  0.20708359  1
  P  P10  1  0.10509641  0.02372844  0.70708359  1
  P  P11  1  0.60509641  0.47627156  0.79291641  1
  P  P12  1  0.15602684  0.80855992  0.11174185  1
  P  P13  1  0.65602684  0.69144008  0.38825815  1
  P  P14  1  0.84397316  0.19144008  0.88825815  1
  P  P15  1  0.34397316  0.30855992  0.61174185  1
",-66.94009504,mp-9588-0-1
1,"# generated using pymatgen
data_LiP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.94000000
_cell_length_b   5.58200000
_cell_length_c   9.07254016
_cell_angle_alpha   94.70310676
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiP
_chemical_formula_sum   'Li8 P8'
_cell_volume   249.33366344
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.38760000  0.11480000  0.32990000  1
  Li  Li1  1  0.88760000  0.38520000  0.17010000  1
  Li  Li2  1  0.61240000  0.88520000  0.67010000  1
  Li  Li3  1  0.11240000  0.61480000  0.82990000  1
  Li  Li4  1  0.65970000  0.80360000  0.02930000  1
  Li  Li5  1  0.15970000  0.69640000  0.47070000  1
  Li  Li6  1  0.34030000  0.19640000  0.97070000  1
  Li  Li7  1  0.84030000  0.30360000  0.52930000  1
  P  P8  1  0.89520000  0.97548000  0.29198000  1
  P  P9  1  0.39520000  0.52452000  0.20802000  1
  P  P10  1  0.10480000  0.02452000  0.70802000  1
  P  P11  1  0.60480000  0.47548000  0.79198000  1
  P  P12  1  0.15650000  0.80752000  0.11252000  1
  P  P13  1  0.65650000  0.69248000  0.38748000  1
  P  P14  1  0.84350000  0.19248000  0.88748000  1
  P  P15  1  0.34350000  0.30752000  0.61252000  1
",-66.92880653,mp-9588-1-0
2,"# generated using pymatgen
data_LiP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97321148
_cell_length_b   5.59346974
_cell_length_c   9.07088845
_cell_angle_alpha   94.81046383
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiP
_chemical_formula_sum   'Li8 P8'
_cell_volume   251.44069596
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.38770398  0.11349820  0.32972147  1
  Li  Li1  1  0.88770398  0.38650180  0.17027853  1
  Li  Li2  1  0.61229602  0.88650180  0.67027853  1
  Li  Li3  1  0.11229602  0.61349820  0.82972147  1
  Li  Li4  1  0.65861396  0.80372758  0.02944910  1
  Li  Li5  1  0.15861396  0.69627242  0.47055090  1
  Li  Li6  1  0.34138604  0.19627242  0.97055090  1
  Li  Li7  1  0.84138604  0.30372758  0.52944910  1
  P  P8  1  0.89532971  0.97621015  0.29274629  1
  P  P9  1  0.39532971  0.52378985  0.20725371  1
  P  P10  1  0.10467029  0.02378985  0.70725371  1
  P  P11  1  0.60467029  0.47621015  0.79274629  1
  P  P12  1  0.15631527  0.80841613  0.11187933  1
  P  P13  1  0.65631527  0.69158387  0.38812067  1
  P  P14  1  0.84368473  0.19158387  0.88812067  1
  P  P15  1  0.34368473  0.30841613  0.61187933  1
",-66.93882135,mp-9588-1-6
3,"# generated using pymatgen
data_NaSiBO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.13476083
_cell_length_b   8.13476072
_cell_length_c   7.78641949
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000042
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaSiBO4
_chemical_formula_sum   'Na6 Si6 B6 O24'
_cell_volume   446.22921359
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.00000000  0.00000000  0.23134590  1
  Na  Na1  1  0.33333300  0.66666700  0.26849974  1
  Na  Na2  1  0.66666700  0.33333300  0.76849974  1
  Na  Na3  1  0.66666700  0.33333300  0.20105338  1
  Na  Na4  1  0.00000000  0.00000000  0.73134590  1
  Na  Na5  1  0.33333300  0.66666700  0.70105338  1
  Si  Si6  1  0.68221464  0.66058363  0.51254152  1
  Si  Si7  1  0.33941637  0.02163101  0.51254152  1
  Si  Si8  1  0.31778536  0.33941637  0.01254152  1
  Si  Si9  1  0.02163101  0.68221464  0.01254152  1
  Si  Si10  1  0.97836899  0.31778536  0.51254152  1
  Si  Si11  1  0.66058363  0.97836899  0.01254152  1
  B  B12  1  0.01786463  0.67977048  0.39245921  1
  B  B13  1  0.33809415  0.01786463  0.89245921  1
  B  B14  1  0.32022952  0.33809415  0.39245921  1
  B  B15  1  0.67977048  0.66190585  0.89245921  1
  B  B16  1  0.98213537  0.32022952  0.89245921  1
  B  B17  1  0.66190585  0.98213537  0.39245921  1
  O  O18  1  0.18947593  0.39861186  0.89273666  1
  O  O19  1  0.09089515  0.72313602  0.21279222  1
  O  O20  1  0.13991583  0.25423539  0.48961204  1
  O  O21  1  0.36775913  0.09089515  0.71279222  1
  O  O22  1  0.88568044  0.13991583  0.98961204  1
  O  O23  1  0.63224087  0.90910485  0.21279222  1
  O  O24  1  0.39861186  0.20913593  0.39273666  1
  O  O25  1  0.11431956  0.86008417  0.48961204  1
  O  O26  1  0.47207007  0.92860915  0.46669201  1
  O  O27  1  0.20913593  0.81052407  0.89273666  1
  O  O28  1  0.07139085  0.54346092  0.46669201  1
  O  O29  1  0.25423539  0.11431956  0.98961204  1
  O  O30  1  0.92860915  0.45653908  0.96669201  1
  O  O31  1  0.90910485  0.27686398  0.71279222  1
  O  O32  1  0.27686398  0.36775913  0.21279222  1
  O  O33  1  0.86008417  0.74576461  0.98961204  1
  O  O34  1  0.45653908  0.52792993  0.46669201  1
  O  O35  1  0.54346092  0.47207007  0.96669201  1
  O  O36  1  0.81052407  0.60138814  0.39273666  1
  O  O37  1  0.72313602  0.63224087  0.71279222  1
  O  O38  1  0.74576461  0.88568044  0.48961204  1
  O  O39  1  0.52792993  0.07139085  0.96669201  1
  O  O40  1  0.60138814  0.79086407  0.89273666  1
  O  O41  1  0.79086407  0.18947593  0.39273666  1
",-304.87082723,mp-554947-0-9
4,"# generated using pymatgen
data_NaSiBO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.03500000
_cell_length_b   8.03499990
_cell_length_c   7.70300000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000043
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaSiBO4
_chemical_formula_sum   'Na6 Si6 B6 O24'
_cell_volume   430.68751690
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.00000000  0.00000000  0.23200000  1
  Na  Na1  1  0.33333300  0.66666700  0.27000000  1
  Na  Na2  1  0.66666700  0.33333300  0.77000000  1
  Na  Na3  1  0.66666700  0.33333300  0.19900000  1
  Na  Na4  1  0.00000000  0.00000000  0.73200000  1
  Na  Na5  1  0.33333300  0.66666700  0.69900000  1
  Si  Si6  1  0.68540000  0.66070000  0.51780000  1
  Si  Si7  1  0.33930000  0.02470000  0.51780000  1
  Si  Si8  1  0.31460000  0.33930000  0.01780000  1
  Si  Si9  1  0.02470000  0.68540000  0.01780000  1
  Si  Si10  1  0.97530000  0.31460000  0.51780000  1
  Si  Si11  1  0.66070000  0.97530000  0.01780000  1
  B  B12  1  0.02900000  0.68900000  0.39100000  1
  B  B13  1  0.34000000  0.02900000  0.89100000  1
  B  B14  1  0.31100000  0.34000000  0.39100000  1
  B  B15  1  0.68900000  0.66000000  0.89100000  1
  B  B16  1  0.97100000  0.31100000  0.89100000  1
  B  B17  1  0.66000000  0.97100000  0.39100000  1
  O  O18  1  0.19000000  0.39600000  0.89300000  1
  O  O19  1  0.10000000  0.72900000  0.22100000  1
  O  O20  1  0.13800000  0.25200000  0.47400000  1
  O  O21  1  0.37100000  0.10000000  0.72100000  1
  O  O22  1  0.88600000  0.13800000  0.97400000  1
  O  O23  1  0.62900000  0.90000000  0.22100000  1
  O  O24  1  0.39600000  0.20600000  0.39300000  1
  O  O25  1  0.11400000  0.86200000  0.47400000  1
  O  O26  1  0.47000000  0.92900000  0.47000000  1
  O  O27  1  0.20600000  0.81000000  0.89300000  1
  O  O28  1  0.07100000  0.54100000  0.47000000  1
  O  O29  1  0.25200000  0.11400000  0.97400000  1
  O  O30  1  0.92900000  0.45900000  0.97000000  1
  O  O31  1  0.90000000  0.27100000  0.72100000  1
  O  O32  1  0.27100000  0.37100000  0.22100000  1
  O  O33  1  0.86200000  0.74800000  0.97400000  1
  O  O34  1  0.45900000  0.53000000  0.47000000  1
  O  O35  1  0.54100000  0.47000000  0.97000000  1
  O  O36  1  0.81000000  0.60400000  0.39300000  1
  O  O37  1  0.72900000  0.62900000  0.72100000  1
  O  O38  1  0.74800000  0.88600000  0.47400000  1
  O  O39  1  0.53000000  0.07100000  0.97000000  1
  O  O40  1  0.60400000  0.79400000  0.89300000  1
  O  O41  1  0.79400000  0.19000000  0.39300000  1
",-302.02067994,mp-554947-1-0
5,"# generated using pymatgen
data_NaSiBO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.10770491
_cell_length_b   8.10770481
_cell_length_c   7.79109435
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000045
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaSiBO4
_chemical_formula_sum   'Na6 Si6 B6 O24'
_cell_volume   443.53199639
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.00000000  0.00000000  0.23254449  1
  Na  Na1  1  0.33333300  0.66666700  0.27044677  1
  Na  Na2  1  0.66666700  0.33333300  0.77044677  1
  Na  Na3  1  0.66666700  0.33333300  0.20030655  1
  Na  Na4  1  0.00000000  0.00000000  0.73254449  1
  Na  Na5  1  0.33333300  0.66666700  0.70030655  1
  Si  Si6  1  0.68370976  0.65859674  0.51266763  1
  Si  Si7  1  0.34140326  0.02511302  0.51266763  1
  Si  Si8  1  0.31629024  0.34140326  0.01266763  1
  Si  Si9  1  0.02511302  0.68370976  0.01266763  1
  Si  Si10  1  0.97488698  0.31629024  0.51266763  1
  Si  Si11  1  0.65859674  0.97488698  0.01266763  1
  B  B12  1  0.02081269  0.68255973  0.39304122  1
  B  B13  1  0.33825296  0.02081269  0.89304122  1
  B  B14  1  0.31744027  0.33825296  0.39304122  1
  B  B15  1  0.68255973  0.66174704  0.89304122  1
  B  B16  1  0.97918731  0.31744027  0.89304122  1
  B  B17  1  0.66174704  0.97918731  0.39304122  1
  O  O18  1  0.18726407  0.39884106  0.89142678  1
  O  O19  1  0.09554751  0.72498878  0.21263650  1
  O  O20  1  0.13594776  0.25099795  0.48628786  1
  O  O21  1  0.37055872  0.09554751  0.71263650  1
  O  O22  1  0.88494981  0.13594776  0.98628786  1
  O  O23  1  0.62944128  0.90445249  0.21263650  1
  O  O24  1  0.39884106  0.21157698  0.39142678  1
  O  O25  1  0.11505019  0.86405224  0.48628786  1
  O  O26  1  0.47284820  0.92823147  0.46997408  1
  O  O27  1  0.21157698  0.81273593  0.89142678  1
  O  O28  1  0.07176853  0.54461673  0.46997408  1
  O  O29  1  0.25099795  0.11505019  0.98628786  1
  O  O30  1  0.92823147  0.45538327  0.96997408  1
  O  O31  1  0.90445249  0.27501122  0.71263650  1
  O  O32  1  0.27501122  0.37055872  0.21263650  1
  O  O33  1  0.86405224  0.74900205  0.98628786  1
  O  O34  1  0.45538327  0.52715180  0.46997408  1
  O  O35  1  0.54461673  0.47284820  0.96997408  1
  O  O36  1  0.81273593  0.60115894  0.39142678  1
  O  O37  1  0.72498878  0.62944128  0.71263650  1
  O  O38  1  0.74900205  0.88494981  0.48628786  1
  O  O39  1  0.52715180  0.07176853  0.96997408  1
  O  O40  1  0.60115894  0.78842302  0.89142678  1
  O  O41  1  0.78842302  0.18726407  0.39142678  1
",-304.75757031,mp-554947-1-5
6,"# generated using pymatgen
data_NaPO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.33173026
_cell_length_b   9.96281467
_cell_length_c   9.96281521
_cell_angle_alpha   84.20459105
_cell_angle_beta   71.47199724
_cell_angle_gamma   71.47199784
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaPO3
_chemical_formula_sum   'Na8 P8 O24'
_cell_volume   565.01183527
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.49083138  0.25488860  0.56053401  1
  Na  Na1  1  0.75428002  0.43946599  0.75488860  1
  Na  Na2  1  0.94863461  0.06053401  0.74511140  1
  Na  Na3  1  0.05136539  0.93946599  0.25488860  1
  Na  Na4  1  0.24571998  0.56053401  0.24511140  1
  Na  Na5  1  0.30625399  0.24511140  0.93946599  1
  Na  Na6  1  0.69374601  0.75488860  0.06053401  1
  Na  Na7  1  0.50916862  0.74511140  0.43946599  1
  P  P8  1  0.56435394  0.93007029  0.71341712  1
  P  P9  1  0.99442423  0.71341712  0.56992971  1
  P  P10  1  0.72222894  0.21341712  0.06992971  1
  P  P11  1  0.27777106  0.78658288  0.93007029  1
  P  P12  1  0.20784135  0.56992971  0.78658288  1
  P  P13  1  0.00557577  0.28658288  0.43007029  1
  P  P14  1  0.79215865  0.43007029  0.21341712  1
  P  P15  1  0.43564606  0.06992971  0.28658288  1
  O  O16  1  0.47687820  0.91951097  0.24821030  1
  O  O17  1  0.89638917  0.24821030  0.58048903  1
  O  O18  1  0.35540053  0.41951097  0.74821030  1
  O  O19  1  0.93437640  0.11543292  0.10077808  1
  O  O20  1  0.54980931  0.10077808  0.38456708  1
  O  O21  1  0.15058739  0.38456708  0.39922192  1
  O  O22  1  0.63149371  0.36262325  0.15797319  1
  O  O23  1  0.10361083  0.75178970  0.41951097  1
  O  O24  1  0.36850629  0.63737675  0.84202681  1
  O  O25  1  0.45019069  0.89922192  0.61543292  1
  O  O26  1  0.27491150  0.74821030  0.08048903  1
  O  O27  1  0.15209015  0.13737675  0.34202681  1
  O  O28  1  0.96484553  0.60077808  0.88456708  1
  O  O29  1  0.84941261  0.61543292  0.60077808  1
  O  O30  1  0.72508850  0.25178970  0.91951097  1
  O  O31  1  0.50588304  0.84202681  0.86262325  1
  O  O32  1  0.21053310  0.65797319  0.63737675  1
  O  O33  1  0.06562360  0.88456708  0.89922192  1
  O  O34  1  0.52312180  0.08048903  0.75178970  1
  O  O35  1  0.64459947  0.58048903  0.25178970  1
  O  O36  1  0.49411696  0.15797319  0.13737675  1
  O  O37  1  0.03515447  0.39922192  0.11543292  1
  O  O38  1  0.78946690  0.34202681  0.36262325  1
  O  O39  1  0.84790985  0.86262325  0.65797319  1
",-260.50588533,mp-648053-0-2
7,"# generated using pymatgen
data_NaPO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.93100047
_cell_length_b   9.77740650
_cell_length_c   9.77740700
_cell_angle_alpha   84.72180292
_cell_angle_beta   72.34400635
_cell_angle_gamma   72.34400690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaPO3
_chemical_formula_sum   'Na8 P8 O24'
_cell_volume   514.83155878
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.48720000  0.25980000  0.56400000  1
  Na  Na1  1  0.75300000  0.43600000  0.75980000  1
  Na  Na2  1  0.94880000  0.06400000  0.74020000  1
  Na  Na3  1  0.05120000  0.93600000  0.25980000  1
  Na  Na4  1  0.24700000  0.56400000  0.24020000  1
  Na  Na5  1  0.31100000  0.24020000  0.93600000  1
  Na  Na6  1  0.68900000  0.75980000  0.06400000  1
  Na  Na7  1  0.51280000  0.74020000  0.43600000  1
  P  P8  1  0.61110000  0.92680000  0.72640000  1
  P  P9  1  0.03790000  0.72640000  0.57320000  1
  P  P10  1  0.66250000  0.22640000  0.07320000  1
  P  P11  1  0.33750000  0.77360000  0.92680000  1
  P  P12  1  0.26430000  0.57320000  0.77360000  1
  P  P13  1  0.96210000  0.27360000  0.42680000  1
  P  P14  1  0.73570000  0.42680000  0.22640000  1
  P  P15  1  0.38890000  0.07320000  0.27360000  1
  O  O16  1  0.48270000  0.91580000  0.25680000  1
  O  O17  1  0.89850000  0.25680000  0.58420000  1
  O  O18  1  0.34470000  0.41580000  0.75680000  1
  O  O19  1  0.88300000  0.13600000  0.11240000  1
  O  O20  1  0.51900000  0.11240000  0.36400000  1
  O  O21  1  0.13140000  0.36400000  0.38760000  1
  O  O22  1  0.56850000  0.38000000  0.14900000  1
  O  O23  1  0.10150000  0.74320000  0.41580000  1
  O  O24  1  0.43150000  0.62000000  0.85100000  1
  O  O25  1  0.48100000  0.88760000  0.63600000  1
  O  O26  1  0.26050000  0.75680000  0.08420000  1
  O  O27  1  0.09750000  0.12000000  0.35100000  1
  O  O28  1  0.00460000  0.61240000  0.86400000  1
  O  O29  1  0.86860000  0.63600000  0.61240000  1
  O  O30  1  0.73950000  0.24320000  0.91580000  1
  O  O31  1  0.55150000  0.85100000  0.88000000  1
  O  O32  1  0.28250000  0.64900000  0.62000000  1
  O  O33  1  0.11700000  0.86400000  0.88760000  1
  O  O34  1  0.51730000  0.08420000  0.74320000  1
  O  O35  1  0.65530000  0.58420000  0.24320000  1
  O  O36  1  0.44850000  0.14900000  0.12000000  1
  O  O37  1  0.99540000  0.38760000  0.13600000  1
  O  O38  1  0.71750000  0.35100000  0.38000000  1
  O  O39  1  0.90250000  0.88000000  0.64900000  1
",-252.8861011,mp-648053-1-0
8,"# generated using pymatgen
data_NaPO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.29684060
_cell_length_b   10.01142742
_cell_length_c   10.01142796
_cell_angle_alpha   84.32420761
_cell_angle_beta   71.67041748
_cell_angle_gamma   71.67041807
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaPO3
_chemical_formula_sum   'Na8 P8 O24'
_cell_volume   568.70631552
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.47506427  0.25375177  0.56371939  1
  Na  Na1  1  0.77118396  0.43628061  0.75375177  1
  Na  Na2  1  0.96121634  0.06371939  0.74624823  1
  Na  Na3  1  0.03878366  0.93628061  0.25375177  1
  Na  Na4  1  0.22881604  0.56371939  0.24624823  1
  Na  Na5  1  0.29253543  0.24624823  0.93628061  1
  Na  Na6  1  0.70746457  0.75375177  0.06371939  1
  Na  Na7  1  0.52493573  0.74624823  0.43628061  1
  P  P8  1  0.58198721  0.92790188  0.71356423  1
  P  P9  1  0.00988909  0.71356423  0.57209812  1
  P  P10  1  0.70444856  0.21356423  0.07209812  1
  P  P11  1  0.29555144  0.78643577  0.92790188  1
  P  P12  1  0.22345332  0.57209812  0.78643577  1
  P  P13  1  0.99011091  0.28643577  0.42790188  1
  P  P14  1  0.77654668  0.42790188  0.21356423  1
  P  P15  1  0.41801279  0.07209812  0.28643577  1
  O  O16  1  0.46797752  0.92074914  0.25001708  1
  O  O17  1  0.88872666  0.25001708  0.57925086  1
  O  O18  1  0.36125626  0.42074914  0.75001708  1
  O  O19  1  0.91355235  0.11621016  0.10582970  1
  O  O20  1  0.52976251  0.10582970  0.38378984  1
  O  O21  1  0.13559221  0.38378984  0.39417030  1
  O  O22  1  0.60941498  0.36291853  0.15980093  1
  O  O23  1  0.11127334  0.74998292  0.42074914  1
  O  O24  1  0.39058502  0.63708147  0.84019907  1
  O  O25  1  0.47023749  0.89417030  0.61621016  1
  O  O26  1  0.28200540  0.75001708  0.07925086  1
  O  O27  1  0.13213445  0.13708147  0.34019907  1
  O  O28  1  -0.01938205  0.60582970  0.88378984  1
  O  O29  1  0.86440779  0.61621016  0.60582970  1
  O  O30  1  0.71799460  0.24998292  0.92074914  1
  O  O31  1  0.52766649  0.84019907  0.86291853  1
  O  O32  1  0.23078408  0.65980093  0.63708147  1
  O  O33  1  0.08644765  0.88378984  0.89417030  1
  O  O34  1  0.53202248  0.07925086  0.74998292  1
  O  O35  1  0.63874374  0.57925086  0.24998292  1
  O  O36  1  0.47233351  0.15980093  0.13708147  1
  O  O37  1  0.01938205  0.39417030  0.11621016  1
  O  O38  1  0.76921592  0.34019907  0.36291853  1
  O  O39  1  0.86786555  0.86291853  0.65980093  1
",-259.91263593,mp-648053-1-19
9,"# generated using pymatgen
data_KSi2N3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.56904356
_cell_length_b   5.70292130
_cell_length_c   5.04230000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.79845932
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KSi2N3
_chemical_formula_sum   'K2 Si4 N6'
_cell_volume   137.55821235
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00000000  0.64945000  0.48228400  1
  K  K1  1  0.00000000  0.35055000  0.98228400  1
  Si  Si2  1  0.34848600  0.31520600  0.48966800  1
  Si  Si3  1  0.65151400  0.96672100  0.48966800  1
  Si  Si4  1  0.65151400  0.68479400  0.98966800  1
  Si  Si5  1  0.34848600  0.03327900  0.98966800  1
  N  N6  1  0.47635400  0.35713100  0.82494000  1
  N  N7  1  0.52364600  0.88077800  0.82494000  1
  N  N8  1  0.52364600  0.64286900  0.32494000  1
  N  N9  1  0.47635400  0.11922200  0.32494000  1
  N  N10  1  0.00000000  0.82758400  0.97650100  1
  N  N11  1  0.00000000  0.17241600  0.47650100  1
",-84.84927602,mp-1029418-0-0
